,price
7066,6149988.0
7321,7899965.100000001
1471,5949996.800000001
6267,3229999.2
3979,7799979.0
4755,11169954.0
4629,10150000.0
5270,6989990.0
3715,7159980.100000001
981,4749962.399999999
6801,5299992.0
7909,4649983.800000001
7070,6599993.7
1268,3149984.0
5006,11667976.0
268,3069972.0
654,2599992.0
3016,8799978.0
6643,4499993.7
2835,8489988.0
4915,14420026.17
3641,6199956.0
589,3849994.2
3771,6819950.8
7842,2870999.9999999995
4205,7499947.0
4395,9349956.0
3944,5949970.0
5151,7499992.0
4527,10044000.0
1808,2979982.0
6899,7499974.0
7788,5650000.0
5610,6079997.8
677,1890000.0
3540,9199963.200000001
5386,4899999.3
7665,4949987.0
3012,8999991.0
7174,7637482.800000001
6989,3049998.0
2432,8300000.000000001
5881,6799968.0
3964,6489980.0
6345,3249991.4000000004
5800,5899982.399999999
7336,7199977.0
5004,11499963.0
1611,6100000.0
6358,3611981.84
7715,5799976.0
4490,9898937.1
6482,4499996.0
2647,7236000.0
6211,4299992.37
605,4399977.600000001
4896,8050000.0
3939,4199874.0
1468,5949996.800000001
7431,11798991.200000001
3832,6499940.2
4552,10299952.0
5097,8289997.649999999
4935,13599968.620000001
7608,9799978.2
2155,2850000.0
6318,4150000.0
7669,5649999.2
2077,5978692.5
6286,2300000.0
5184,6699985.600000001
3544,9099972.0
4778,11649974.600000001
584,3998988.0
3400,5499989.8
3779,6699998.399999999
7772,5859986.0
2807,8099990.0
6208,4249995.2
5119,8299991.600000001
4084,7499947.2
4080,7249995.0
2492,5999994.0
2939,9200000.0
7712,5849982.0
5648,5849982.0
344,2049983.6
6634,5049993.600000001
7797,4699992.0
2602,5940000.0
7780,6199970.399999999
3956,6499971.0
6207,4199990.76
3877,5549993.1
2760,7669196.82
90,1579986.0
4039,8649984.5
4231,8849960.0
5046,9690000.0
3353,4199988.0
2117,4403992.4
6517,4198995.0
6088,6649986.2
6225,4349977.7
6644,4450000.0
947,3959974.4
5470,5499989.0
6393,4249995.2
4247,9199971.0
883,4899978.0
4922,13999978.299999999
4019,7689990.0
4649,10949923.299999999
2862,7149996.0
3477,10949950.4
7345,6599968.2
5917,6499983.600000001
7758,7199993.6
7055,5700000.0
5338,4998990.0
5739,6499987.0
5621,5599994.399999999
2415,8599981.5
3689,4999992.8
6077,6499997.4
7139,7779992.4
5822,5999994.0
3780,6830000.0
5549,4899974.6
